symbol,min_score,max_move_pct,notes
JVA,0.75,3,
JYNT,0.75,3,
JZ,0.75,3,
KAI,0.75,3,
KARO,0.75,3,
KAZR,0.75,3,
KE,0.75,3,
KEEL,0.75,3,
KELYA,0.75,3,
KELYB,0.75,3,
KEX,0.75,3,
KEYS,0.75,3,
KFRC,0.75,3,
KGC,0.75,3,
KGEI,0.75,3,
KIDS,0.75,3,
KLAC,0.75,3,
KLIC,0.75,3,
KLTR,0.75,3,
KMB,0.75,3,
KMT,0.75,3,
KN,0.75,3,
KNSA,0.75,3,
KNX,0.75,3,
KO,0.75,3,
KOPN,0.75,3,
KRMD,0.75,3,
KRT,0.75,3,
KSCP,0.75,3,
KTB,0.75,3,
KULR,0.75,3,
KVUE,0.75,3,
KVYO,0.75,3,
KXIN,0.75,3,
LASE,0.75,3,
LASR,0.75,3,
LAUR,0.75,3,
LAWR,0.75,3,
LB,0.75,3,
LCFY,0.75,3,
LE,0.75,3,
LECO,0.75,3,
LEGH,0.75,3,
LEGN,0.75,3,
LEVI,0.75,3,
LFMD,0.75,3,
LFS,0.75,3,
LFST,0.75,3,
LFUS,0.75,3,
LFVN,0.75,3,
LGCY,0.75,3,
LGN,0.75,3,
LGND,0.75,3,
LH,0.75,3,
LIF,0.75,3,
LII,0.75,3,
LIN,0.75,3,
LINC,0.75,3,
LINK,0.75,3,
LITE,0.75,3,
LIVN,0.75,3,
LLY,0.75,3,
LMAT,0.75,3,
LMB,0.75,3,
LNAI,0.75,3,
LNN,0.75,3,
LNSR,0.75,3,
LNTH,0.75,3,
LOGI,0.75,3,
LOPE,0.75,3,
LPTH,0.75,3,
LPX,0.75,3,
LQDA,0.75,3,
LQDT,0.75,3,
LRCX,0.75,3,
LRN,0.75,3,
LSCC,0.75,3,
LSPD,0.75,3,
LSTR,0.75,3,
LTRX,0.75,3,
LUD,0.75,3,
LULU,0.75,3,
LUV,0.75,3,
LWAY,0.75,3,
LXFR,0.75,3,
LZ,0.75,3,
MA,0.75,3,
MAGH,0.75,3,
MAIR,0.75,3,
MAKO,0.75,3,
MAMA,0.75,3,
MAMK,0.75,3,
MAMO,0.75,3,
MANH,0.75,3,
MARPS,0.75,3,
MAS,0.75,3,
MATX,0.75,3,
MAZE,0.75,3,
MCFT,0.75,3,
MCHP,0.75,3,
MCK,0.75,3,
MDAI,0.75,3,
MDB,0.75,3,
MDGL,0.75,3,
MDLZ,0.75,3,
MDT,0.75,3,
MDXG,0.75,3,
MEC,0.75,3,
MEDP,0.75,3,
MELI,0.75,3,
MFI,0.75,3,
MGNI,0.75,3,
MGRC,0.75,3,
MGRT,0.75,3,
MGRX,0.75,3,
MGTX,0.75,3,
MGY,0.75,3,
MHO,0.75,3,
MI,0.75,3,
MIDD,0.75,3,
MIMI,0.75,3,
MIR,0.75,3,
MIRM,0.75,3,
MITK,0.75,3,
MKSI,0.75,3,
MLAB,0.75,3,
MLI,0.75,3,
